AgentName,Role,Episode,StepCount,Reward,AttackAttempts,AttackSuccesses,DefendAttempts,DefendSuccesses,DodgeAttempts,EndTime,Duration,IsDead
Player 1,Defender,424,0,0.50,0,0,0,0,0,33.42,0.00,False
Player 1,Defender,426,545,105.04,84,0,98,0,32,34.16,10.90,False
Player 1,Defender,430,352,77.99,53,0,47,0,57,34.40,7.04,False
Player 1,Defender,436,0,0.50,0,0,0,0,0,34.58,0.00,False
Player 1,Defender,440,0,0.50,0,0,0,0,0,34.76,0.00,False
Player 1,Defender,444,0,0.50,0,0,0,0,0,35.10,0.00,False
Player 1,Defender,446,210,39.57,34,0,16,0,85,35.34,4.20,False
Player 1,Defender,450,263,60.69,28,0,32,0,78,35.64,5.26,False
Player 1,Defender,454,603,122.19,114,0,98,0,29,35.94,12.06,False
Player 1,Defender,460,0,0.50,0,0,0,0,0,36.30,0.00,False
Player 1,Defender,464,0,0.50,0,0,0,0,0,36.38,0.00,False
Player 1,Defender,468,0,0.50,0,0,0,0,0,36.54,0.00,False
Player 1,Defender,472,0,0.50,0,0,0,0,0,37.28,0.00,False
Player 1,Defender,474,577,89.62,124,1,81,1,97,37.62,11.54,False
Player 1,Defender,480,0,0.50,0,0,0,0,0,37.88,0.00,False
Player 1,Defender,482,363,58.81,62,0,59,0,68,38.52,7.26,False
Player 1,Defender,486,197,26.38,39,0,26,0,12,38.52,3.94,False
Player 1,Defender,490,478,85.84,85,0,90,0,18,38.56,9.56,False
Player 1,Defender,496,0,0.50,0,0,0,0,0,38.68,0.00,False
Player 1,Defender,498,759,143.92,133,0,123,0,30,39.00,15.18,False
Player 1,Defender,502,234,40.15,36,0,41,0,20,39.08,4.68,False
Player 1,Defender,506,627,123.83,96,0,111,0,62,39.24,12.54,False
Player 1,Defender,512,0,0.50,0,0,0,0,0,39.72,0.00,False
Player 1,Defender,516,0,0.50,0,0,0,0,0,40.08,0.00,False
Player 1,Defender,520,0,0.50,0,0,0,0,0,40.40,0.00,False
Player 1,Defender,524,0,0.50,0,0,0,0,0,40.42,0.00,False
Player 1,Defender,526,245,44.14,35,0,31,0,70,40.54,4.90,False
Player 1,Defender,532,0,0.50,0,0,0,0,0,40.54,0.00,False
Player 1,Defender,534,766,156.02,145,0,123,0,88,40.98,15.32,False
Player 1,Defender,538,958,201.36,140,0,165,0,66,41.02,19.16,False
Player 1,Defender,542,241,31.06,20,0,53,0,57,41.12,4.82,False
Player 1,Defender,546,199,38.07,18,0,31,0,71,41.60,3.98,False
Player 1,Defender,550,228,36.78,33,0,31,0,12,41.84,4.56,False
Player 1,Defender,554,181,33.46,18,0,27,0,30,42.14,3.62,False
Player 1,Defender,560,0,0.50,0,0,0,0,0,42.50,0.00,False
Player 1,Defender,564,0,0.50,0,0,0,0,0,43.00,0.00,False
Player 1,Defender,566,514,111.15,65,0,84,0,61,43.10,10.28,False
Player 1,Defender,572,0,0.50,0,0,0,0,0,43.14,0.00,False
Player 1,Defender,574,611,124.35,98,0,89,0,80,43.22,12.22,False
Player 1,Defender,578,636,145.13,77,0,93,0,88,43.24,12.72,False
Player 1,Defender,582,649,144.10,88,0,122,0,3,43.32,12.98,False
Player 1,Defender,588,0,0.50,0,0,0,0,0,43.34,0.00,False
Player 1,Defender,590,955,184.75,153,0,137,0,17,43.42,19.10,False
Player 1,Defender,594,889,207.44,130,0,148,0,78,43.64,17.78,False
Player 1,Defender,600,0,0.50,0,0,0,0,0,44.04,0.00,False
Player 1,Defender,602,620,99.67,94,0,97,0,69,44.18,12.40,False
Player 1,Defender,608,0,0.50,0,0,0,0,0,44.64,0.00,False
Player 1,Defender,610,929,201.82,121,0,163,0,65,44.68,18.58,False
Player 1,Defender,614,476,113.71,55,0,50,0,2,44.86,9.52,False
Player 1,Defender,618,159,28.61,9,0,40,0,29,45.02,3.18,False
Player 1,Defender,624,0,0.50,0,0,0,0,0,45.20,0.00,False
Player 1,Defender,626,279,44.48,38,0,50,0,18,45.30,5.58,False
Player 1,Defender,632,0,0.50,0,0,0,0,0,45.36,0.00,False
Player 1,Defender,634,320,68.58,31,0,36,0,28,45.48,6.40,False
Player 1,Defender,638,253,56.08,17,0,32,0,98,45.60,5.06,False
Player 1,Defender,642,821,183.76,124,0,122,0,15,46.20,16.42,False
Player 1,Defender,646,945,195.54,161,0,159,0,53,46.38,18.90,False
Player 1,Defender,650,595,142.82,71,0,78,0,84,47.84,11.90,False
Player 1,Defender,654,316,68.57,22,0,25,0,23,47.92,6.32,False
Player 1,Defender,658,371,62.38,39,1,54,0,24,47.96,7.42,False
Player 1,Defender,662,293,67.92,21,0,43,0,65,48.00,5.86,False
Player 1,Defender,666,350,82.00,30,0,43,0,76,48.02,7.00,False
Player 1,Defender,672,0,0.50,0,0,0,0,0,48.60,0.00,False
Player 1,Defender,674,736,156.40,102,0,108,0,28,48.88,14.72,False
Player 1,Defender,678,183,23.92,27,0,29,0,3,49.02,3.66,False
Player 1,Defender,682,398,90.03,37,0,53,0,110,49.08,7.96,False
Player 1,Defender,686,311,74.74,16,0,45,0,53,49.32,6.22,False
Player 1,Defender,690,518,115.38,60,0,92,0,39,49.36,10.36,False
Player 1,Defender,694,655,135.83,70,0,104,0,87,49.48,13.10,False
Player 1,Defender,698,203,43.85,12,0,38,0,86,49.66,4.06,False
Player 1,Defender,702,760,128.95,123,2,85,1,9,49.96,15.20,False
Player 1,Defender,706,537,119.45,67,0,90,0,34,49.98,10.74,False
Player 1,Defender,710,955,184.38,147,1,155,1,70,50.04,19.10,False
Player 1,Defender,714,344,80.27,25,0,57,0,44,50.30,6.88,False
Player 1,Defender,718,593,149.97,42,0,86,0,38,50.42,11.86,False
Player 1,Defender,722,508,92.60,76,1,77,1,5,50.56,10.16,False
Player 1,Defender,726,774,168.20,111,0,126,0,12,50.58,15.48,False
Player 1,Defender,730,136,23.47,15,0,19,0,43,50.72,2.72,False
Player 1,Defender,734,382,88.05,28,0,64,0,50,50.88,7.64,False
Player 1,Defender,738,502,122.81,40,0,76,0,86,51.02,10.04,False
Player 1,Defender,742,101,14.74,2,0,13,0,36,51.04,2.02,False
Player 1,Defender,746,344,74.49,43,0,40,0,38,51.06,6.88,False
Player 1,Defender,752,0,0.50,0,0,0,0,0,51.32,0.00,False
Player 1,Defender,754,318,74.01,20,0,46,0,17,51.66,6.36,False
Player 1,Defender,758,127,18.78,19,0,17,0,29,51.86,2.54,False
Player 1,Defender,762,363,69.19,40,0,58,0,16,51.94,7.26,False
Player 1,Defender,766,208,42.79,14,0,32,0,77,52.12,4.16,False
Player 1,Defender,770,233,44.84,16,0,39,0,90,52.58,4.66,False
Player 1,Defender,774,477,100.48,57,0,78,0,49,52.76,9.54,False
Player 1,Defender,778,383,88.62,32,0,49,0,3,53.14,7.66,False
Player 1,Defender,782,427,106.81,25,0,55,0,17,53.40,8.54,False
Player 1,Defender,786,126,17.17,18,0,18,0,33,53.84,2.52,False
Player 1,Defender,790,212,39.29,15,0,22,0,19,53.90,4.24,False
Player 1,Defender,794,190,38.20,21,0,21,0,8,54.10,3.80,False
Player 1,Defender,798,209,42.84,16,0,34,0,4,54.74,4.18,False
Player 1,Defender,802,454,104.74,39,0,58,0,96,55.28,9.08,False
Player 1,Defender,806,215,42.48,20,0,38,0,83,55.34,4.30,False
Player 1,Defender,810,175,35.67,19,0,22,0,77,55.36,3.50,False
Player 1,Defender,814,589,141.25,57,0,89,0,36,55.42,11.78,False
Player 1,Defender,818,393,86.00,43,0,65,0,62,55.70,7.86,False
Player 1,Defender,822,210,42.86,14,0,27,0,87,55.86,4.20,False
Player 1,Defender,826,300,69.03,18,0,42,0,12,55.96,6.00,False
Player 1,Defender,830,333,72.62,32,0,51,0,30,56.02,6.66,False
Player 1,Defender,834,377,71.32,36,0,50,0,33,56.14,7.54,False
Player 1,Defender,838,675,140.03,101,0,94,0,51,56.50,13.50,False
Player 1,Defender,842,677,120.26,103,1,98,0,42,56.88,13.54,False
Player 1,Defender,846,243,54.47,16,0,25,0,97,56.98,4.86,False
Player 1,Defender,850,147,26.48,20,0,12,0,29,57.04,2.94,False
Player 1,Defender,854,863,186.44,89,1,116,0,11,57.34,17.26,False
Player 1,Defender,860,0,0.50,0,0,0,0,0,57.54,0.00,False
Player 1,Defender,862,438,109.46,36,0,55,0,36,57.64,8.76,False
Player 1,Defender,866,734,153.60,94,1,80,0,53,57.82,14.68,False
Player 1,Defender,870,219,47.33,19,0,24,0,98,58.22,4.38,False
Player 1,Defender,874,147,31.16,5,0,20,0,12,58.30,2.94,False
Player 1,Defender,878,353,80.32,25,0,46,0,73,59.00,7.06,False
Player 1,Defender,882,185,36.87,12,0,23,0,9,59.04,3.70,False
Player 1,Defender,886,572,132.11,46,0,89,0,56,59.46,11.44,False
Player 1,Defender,890,351,80.04,34,0,40,0,95,59.60,7.02,False
Player 1,Defender,896,0,0.50,0,0,0,0,0,59.76,0.00,False
Player 1,Defender,898,184,36.38,12,0,23,0,74,59.82,3.68,False
Player 1,Defender,902,149,26.22,9,0,17,0,50,60.02,2.98,False
Player 1,Defender,906,533,120.96,48,0,88,0,32,60.14,10.66,False
Player 1,Defender,910,359,83.99,31,0,50,0,46,60.32,7.18,False
Player 1,Defender,914,327,69.55,25,0,43,0,41,60.44,6.54,False
Player 1,Defender,918,502,121.31,47,0,70,0,3,60.62,10.04,False
Player 1,Defender,922,547,127.91,49,0,86,0,21,60.92,10.94,False
Player 1,Defender,928,0,0.50,0,0,0,0,0,61.06,0.00,False
Player 1,Defender,930,272,54.81,20,0,41,0,99,61.30,5.44,False
Player 1,Defender,934,774,190.77,69,0,112,0,93,61.86,15.48,False
Player 1,Defender,940,0,0.50,0,0,0,0,0,62.06,0.00,False
Player 1,Defender,942,606,150.24,42,0,93,0,15,62.16,12.12,False
Player 1,Defender,946,195,38.25,16,0,32,0,52,62.20,3.90,False
Player 1,Defender,950,268,62.51,12,0,38,0,2,62.34,5.36,False
Player 1,Defender,954,211,47.57,13,0,20,0,7,62.44,4.22,False
Player 1,Defender,958,173,32.89,10,0,16,0,42,62.50,3.46,False
Player 1,Defender,962,248,61.49,13,0,25,0,55,62.78,4.96,False
Player 1,Defender,968,0,0.50,0,0,0,0,0,62.90,0.00,False
Player 1,Defender,970,361,80.27,30,0,45,0,84,63.18,7.22,False
Player 1,Defender,974,173,34.58,8,0,8,0,18,63.28,3.46,False
Player 1,Defender,978,428,102.74,36,0,58,0,27,63.30,8.56,False
Player 1,Defender,982,405,88.54,37,0,47,0,3,63.80,8.10,False
Player 1,Defender,986,206,40.38,15,0,21,0,15,64.14,4.12,False
Player 1,Defender,992,0,0.50,0,0,0,0,0,64.62,0.00,False
Player 1,Defender,996,0,0.50,0,0,0,0,0,64.64,0.00,False
Player 1,Defender,998,373,82.10,31,0,38,0,47,65.00,7.46,False
Player 1,Defender,1002,274,64.17,20,0,22,0,73,65.08,5.48,False
Player 1,Defender,1008,0,0.50,0,0,0,0,0,65.48,0.00,False
Player 1,Defender,1010,1253,268.24,173,1,162,0,5,65.48,25.06,False
Player 1,Defender,1014,162,35.10,9,0,12,0,28,65.68,3.24,False
Player 1,Defender,1018,137,27.40,5,0,12,0,50,65.92,2.74,False
Player 1,Defender,1022,1404,281.54,160,3,191,1,61,65.96,28.08,False
Player 1,Defender,1026,174,33.78,7,0,15,0,82,65.98,3.48,False
Player 1,Defender,1032,0,0.50,0,0,0,0,0,65.98,0.00,False
Player 1,Defender,1034,237,52.85,12,0,25,0,79,66.04,4.74,False
Player 1,Defender,1038,197,41.25,12,0,18,0,72,66.14,3.94,False
Player 1,Defender,1044,0,0.50,0,0,0,0,0,66.22,0.00,False
Player 1,Defender,1046,149,26.58,15,0,19,0,52,66.28,2.98,False
Player 1,Defender,1050,331,58.87,37,0,43,0,14,66.38,6.62,False
Player 1,Defender,1056,0,0.50,0,0,0,0,0,66.48,0.00,False
Player 1,Defender,1058,490,113.93,40,0,75,0,82,66.68,9.80,False
Player 1,Defender,1062,540,124.14,50,0,81,0,83,67.30,10.80,False
Player 1,Defender,1066,358,83.03,26,0,57,0,4,67.78,7.16,False
Player 1,Defender,1070,182,35.71,8,0,22,0,28,67.78,3.64,False
Player 1,Defender,1074,590,158.60,37,0,76,0,116,67.82,11.80,False
Player 1,Defender,1078,153,24.41,12,0,18,0,48,68.14,3.06,False
Player 1,Defender,1082,403,91.46,24,0,54,0,12,68.20,8.06,False
Player 1,Defender,1088,0,0.50,0,0,0,0,0,68.36,0.00,False
Player 1,Defender,1090,293,66.40,12,0,36,0,65,68.64,5.86,False
Player 1,Defender,1094,418,113.23,15,0,32,0,3,68.80,8.36,False
Player 1,Defender,1098,345,97.73,8,0,25,0,110,69.24,6.90,False
Player 1,Defender,1104,0,0.50,0,0,0,0,0,69.24,0.00,False
Player 1,Defender,1106,159,35.92,10,0,10,0,76,69.56,3.18,False
Player 1,Defender,1110,315,73.30,20,0,36,0,39,69.58,6.30,False
